Precinct,Councilman -- District 3-:-Byron L. Lee (DEM),Councilman -- District 3-:-Derrick Shepherd (DEM),"Councilman -- District 4-:-Albert ""Al"" Morella (IND)",Councilman -- District 4-:-Arita Bohannan (REP),Councilman -- District 4-:-Jack Rizzuto (REP),Councilman -- District 5-:-Hans Liljeberg (REP),Councilman -- District 5-:-Melinda Bourgeois (REP),"Councilman at Large -- Division A-:-J. ""Frankie"" Hyers (REP)",Councilman at Large -- Division A-:-Jennifer Van Vrancken (REP),Councilman at Large -- Division A-:-Ricky Templet (REP),Councilman at Large -- Division B-:-Dominick Impastato (REP),Councilman at Large -- Division B-:-Scott Walker (REP)
Jefferson-:-00 001,0,0,37,295,304,0,0,14,407,219,218,432
Jefferson-:-00 002,0,0,36,167,167,0,0,5,243,125,146,226
Jefferson-:-00 003,0,0,24,167,184,0,0,4,249,125,97,285
Jefferson-:-00 004,0,0,24,148,130,0,0,4,205,101,119,193
Jefferson-:-00 005,0,0,17,132,172,0,0,5,202,125,106,225
Jefferson-:-00 007,0,0,40,146,119,0,0,19,186,91,103,200
Jefferson-:-00 008,0,0,24,119,99,0,0,9,145,92,85,162
Jefferson-:-00 009,0,0,42,101,106,0,0,8,150,81,102,139
Jefferson-:-00 010,0,0,22,120,128,0,0,5,154,118,103,177
Jefferson-:-00 011,0,0,39,130,139,0,0,11,189,101,121,188
Jefferson-:-00 012,0,0,0,0,0,372,122,9,368,140,157,356
Jefferson-:-00 013,0,0,0,0,0,330,173,12,367,182,193,352
Jefferson-:-00 014,0,0,0,0,0,154,87,16,144,97,97,165
Jefferson-:-00 015,0,0,0,0,0,88,56,3,115,35,52,96
Jefferson-:-00 016,0,0,0,0,0,114,81,4,148,52,58,146
Jefferson-:-00 017,0,0,0,0,0,357,249,15,436,196,234,404
Jefferson-:-00 018,0,0,36,167,177,0,0,4,256,126,120,273
Jefferson-:-00 019,0,0,0,0,0,118,77,5,131,69,76,131
Jefferson-:-00 020,0,0,0,0,0,74,59,5,89,49,52,89
Jefferson-:-00 021,0,0,26,125,109,0,0,15,167,78,70,193
Jefferson-:-00 022,0,0,0,0,0,60,34,4,60,35,32,74
Jefferson-:-00 023,0,0,0,0,0,49,62,3,95,29,43,74
Jefferson-:-00 024,0,0,0,0,0,508,195,15,467,252,236,505
Jefferson-:-00 025,0,0,0,0,0,429,212,19,447,205,187,495
Jefferson-:-00 026,0,0,0,0,0,306,194,5,365,153,142,390
Jefferson-:-00 027,0,0,0,0,0,213,111,7,208,126,91,244
Jefferson-:-00 028,0,0,0,0,0,114,70,3,135,55,61,126
Jefferson-:-00 029,0,0,0,0,0,95,53,14,99,50,48,111
Jefferson-:-00 030,0,0,0,0,0,349,156,11,404,125,132,404
Jefferson-:-00 031,0,0,0,0,0,210,124,9,227,115,66,291
Jefferson-:-00 032,0,0,0,0,0,284,122,16,263,144,92,336
Jefferson-:-00 033,0,0,0,0,0,179,105,5,192,94,88,200
Jefferson-:-00 034,0,0,0,0,0,222,129,7,263,104,88,291
Jefferson-:-00 035,0,0,0,0,0,168,81,7,164,95,62,204
Jefferson-:-00 036,0,0,0,0,0,136,79,4,145,73,48,178
Jefferson-:-00 037,0,0,0,0,0,195,128,5,221,111,92,248
Jefferson-:-00 038,0,0,0,0,0,201,135,12,208,123,121,226
Jefferson-:-00 039,0,0,0,0,0,304,100,11,298,116,83,342
Jefferson-:-00 040,0,0,0,0,0,213,111,7,227,108,65,276
Jefferson-:-00 041,0,0,0,0,0,221,110,4,260,88,105,250
Jefferson-:-00 042,0,0,0,0,0,232,117,9,265,101,110,274
Jefferson-:-00 043,0,0,0,0,0,184,108,5,211,88,91,216
Jefferson-:-00 044,0,0,0,0,0,298,131,18,278,157,156,302
Jefferson-:-00 045,0,0,0,0,0,158,143,3,249,63,83,234
Jefferson-:-00 046,0,0,0,0,0,108,84,11,141,63,63,146
Jefferson-:-00 051,0,0,22,158,169,0,0,8,230,107,185,166
Jefferson-:-00 052,0,0,37,252,206,0,0,16,301,182,229,276
Jefferson-:-00 053,0,0,24,152,169,0,0,18,189,140,152,193
Jefferson-:-00 054,0,0,43,120,124,0,0,15,161,105,123,164
Jefferson-:-00 055,0,0,29,129,110,0,0,5,170,101,142,137
Jefferson-:-00 056,0,0,23,111,120,0,0,15,128,106,139,115
Jefferson-:-00 057,0,0,23,123,95,0,0,12,127,104,114,127
Jefferson-:-00 058,0,0,14,54,46,0,0,7,60,49,54,60
Jefferson-:-00 059,0,0,39,143,126,0,0,4,186,119,136,175
Jefferson-:-00 060,0,0,0,0,0,0,0,19,364,231,232,375
Jefferson-:-00 061,0,0,0,0,0,0,0,7,198,91,103,187
Jefferson-:-00 062,0,0,0,0,0,0,0,9,150,98,77,181
Jefferson-:-00 063,0,0,0,0,0,0,0,3,144,83,87,146
Jefferson-:-00 064,0,0,0,0,0,0,0,5,122,74,83,120
Jefferson-:-00 065,0,0,0,0,0,0,0,19,143,98,103,159
Jefferson-:-00 066,0,0,0,0,0,0,0,7,284,136,148,274
Jefferson-:-00 067,0,0,0,0,0,0,0,4,52,41,39,57
Jefferson-:-00 068,0,0,0,0,0,0,0,12,189,126,108,216
Jefferson-:-00 069,0,0,0,0,0,0,0,16,220,119,114,251
Jefferson-:-00 070,0,0,0,0,0,81,111,18,122,62,94,104
Jefferson-:-00 071,0,0,0,0,0,0,0,12,428,223,212,451
Jefferson-:-00 072,0,0,0,0,0,0,0,15,167,94,110,165
Jefferson-:-00 073,0,0,0,0,0,328,162,18,354,146,149,375
Jefferson-:-00 074,0,0,0,0,0,210,114,8,218,112,105,238
Jefferson-:-00 075,0,0,0,0,0,0,0,16,134,80,94,133
Jefferson-:-00 076,0,0,0,0,0,194,108,12,212,98,127,203
Jefferson-:-00 077,0,0,0,0,0,235,111,12,223,130,114,250
Jefferson-:-00 078,0,0,0,0,0,212,131,11,227,119,138,223
Jefferson-:-00 079,0,0,0,0,0,172,76,4,180,76,92,165
Jefferson-:-00 080,0,0,0,0,0,118,131,19,134,102,102,159
Jefferson-:-00 081,0,0,0,0,0,88,100,9,112,73,70,124
Jefferson-:-00 082,0,0,0,0,0,202,115,11,210,109,120,215
Jefferson-:-00 083,0,0,0,0,0,100,62,9,93,67,65,109
Jefferson-:-00 084,0,0,0,0,0,141,79,9,150,83,77,164
Jefferson-:-00 085,0,0,0,0,0,214,107,9,244,81,80,254
Jefferson-:-00 086,0,0,0,0,0,158,81,5,179,69,69,182
Jefferson-:-00 087,0,0,0,0,0,262,91,5,236,136,88,285
Jefferson-:-00 088,0,0,0,0,0,231,91,5,250,80,65,279
Jefferson-:-00 089,0,0,0,0,0,316,108,9,268,160,74,371
Jefferson-:-00 090,0,0,0,0,0,210,122,1,240,108,85,263
Jefferson-:-00 091,0,0,0,0,0,205,87,7,195,101,66,237
Jefferson-:-00 092,0,0,0,0,0,191,45,8,182,57,32,220
Jefferson-:-00 093,0,0,0,0,0,260,86,3,220,139,61,302
Jefferson-:-00 094,0,0,0,0,0,404,128,3,387,172,88,477
Jefferson-:-00 095,0,0,0,0,0,244,240,5,394,114,73,441
Jefferson-:-00 096,0,0,0,0,0,170,100,4,227,48,23,263
Jefferson-:-00 097,0,0,0,0,0,195,94,5,208,94,37,272
Jefferson-:-00 098,0,0,0,0,0,352,128,8,380,123,102,409
Jefferson-:-00 099,0,0,0,0,0,110,76,4,145,50,40,152
Jefferson-:-00 100,0,0,0,0,0,136,52,3,160,35,44,149
Jefferson-:-00 101,0,0,0,0,0,103,38,3,115,36,22,130
Jefferson-:-00 102,0,0,0,0,0,151,74,3,172,64,57,185
Jefferson-:-00 103,0,0,0,0,0,169,101,4,250,43,48,242
Jefferson-:-00 104,130,136,0,0,0,0,0,15,95,94,95,91
Jefferson-:-00 105,0,0,0,0,0,0,0,7,73,45,52,77
Jefferson-:-00 106,0,0,0,0,0,0,0,4,135,69,48,165
Jefferson-:-00 108,83,75,0,0,0,0,0,1,45,77,57,66
Jefferson-:-00 115,81,96,0,0,0,0,0,18,44,60,55,63
Jefferson-:-00 116,70,87,0,0,0,0,0,11,83,73,68,98
Jefferson-:-00 117,0,0,0,0,0,0,0,9,246,174,152,280
Jefferson-:-00 118,0,0,0,0,0,0,0,11,214,171,113,291
Jefferson-:-00 119,0,0,0,0,0,0,0,3,185,143,119,213
Jefferson-:-00 120,0,0,0,0,0,0,0,8,138,121,94,180
Jefferson-:-00 121,0,0,0,0,0,0,0,8,292,174,171,304
Jefferson-:-00 122,0,0,0,0,0,0,0,8,311,157,135,345
Jefferson-:-00 123,0,0,0,0,0,0,0,26,403,273,233,476
Jefferson-:-00 124,0,0,0,0,0,0,0,23,466,282,277,489
Jefferson-:-00 125A,0,0,0,0,0,0,0,9,90,52,61,89
Jefferson-:-00 125B,0,0,0,0,0,0,0,5,100,64,55,118
Jefferson-:-00 126,0,0,0,0,0,0,0,19,256,154,146,280
Jefferson-:-00 127,0,0,0,0,0,0,0,19,112,106,106,126
Jefferson-:-00 128,0,0,0,0,0,0,0,16,178,118,116,197
Jefferson-:-00 129,0,0,0,0,0,0,0,7,205,98,103,216
Jefferson-:-00 130,0,0,0,0,0,0,0,4,118,52,51,123
Jefferson-:-00 131,0,0,0,0,0,0,0,3,54,21,33,48
Jefferson-:-00 132,0,0,0,0,0,0,0,7,132,36,54,127
Jefferson-:-00 133,0,0,0,0,0,0,0,7,95,46,35,112
Jefferson-:-00 134,0,0,0,0,0,0,0,11,150,74,69,174
Jefferson-:-00 136,0,0,0,0,0,0,0,8,124,70,63,136
Jefferson-:-00 138,0,0,0,0,0,0,0,5,47,13,25,39
Jefferson-:-00 150,332,426,0,0,0,0,0,23,285,349,347,304
Jefferson-:-00 151,325,382,0,0,0,0,0,32,260,336,342,277
Jefferson-:-00 152,0,0,0,0,0,0,0,18,71,90,68,109
Jefferson-:-00 153,171,178,0,0,0,0,0,11,87,143,99,136
Jefferson-:-00 154,166,167,0,0,0,0,0,11,115,121,110,126
Jefferson-:-00 155,0,0,0,0,0,0,0,7,92,70,70,99
Jefferson-:-00 156,190,128,0,0,0,0,0,20,102,121,102,140
Jefferson-:-00 157A,210,212,0,0,0,0,0,12,157,207,157,215
Jefferson-:-00 157B,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-00 170,0,0,0,0,0,0,0,26,170,193,171,213
Jefferson-:-00 171,0,0,0,0,0,0,0,1,12,17,15,16
Jefferson-:-00 172,0,0,0,0,0,0,0,5,81,142,98,134
Jefferson-:-00 173,61,82,0,0,0,0,0,8,44,66,47,64
Jefferson-:-00 174,0,0,0,0,0,0,0,1,26,42,33,38
Jefferson-:-00 175,0,0,0,0,0,0,0,9,83,146,85,155
Jefferson-:-00 176,0,0,0,0,0,0,0,3,32,98,57,77
Jefferson-:-00 177,0,0,0,0,0,0,0,7,63,154,99,126
Jefferson-:-00 178,0,0,0,0,0,0,0,5,65,104,69,104
Jefferson-:-00 179A,232,224,0,0,0,0,0,19,157,245,185,241
Jefferson-:-00 179B,75,93,0,0,0,0,0,5,47,73,59,67
Jefferson-:-00 180,153,172,0,0,0,0,0,11,74,151,81,146
Jefferson-:-00 181,142,134,0,0,0,0,0,5,74,126,77,133
Jefferson-:-00 182,0,0,0,0,0,0,0,5,49,106,66,93
Jefferson-:-00 183,0,0,0,0,0,0,0,13,83,92,68,123
Jefferson-:-00 184,0,0,0,0,0,0,0,18,166,370,247,310
Jefferson-:-00 185A,0,0,0,0,0,0,0,1,74,171,109,136
Jefferson-:-00 185B,164,97,0,0,0,0,0,3,95,139,91,146
Jefferson-:-00 187,308,251,0,0,0,0,0,20,157,238,175,226
Jefferson-:-00 188,103,100,0,0,0,0,0,5,63,91,73,80
Jefferson-:-00 189,154,148,0,0,0,0,0,13,109,186,145,161
Jefferson-:-00 190,271,201,0,0,0,0,0,11,154,304,216,255
Jefferson-:-00 191,241,178,0,0,0,0,0,22,148,216,185,193
Jefferson-:-00 192,0,0,0,0,0,0,0,20,194,360,278,288
Jefferson-:-00 193A,0,0,0,0,0,0,0,9,74,150,99,140
Jefferson-:-00 193B,0,0,0,0,0,0,0,18,121,181,127,185
Jefferson-:-00 194A,215,139,0,0,0,0,0,12,111,214,132,199
Jefferson-:-00 194B,0,0,0,0,0,0,0,13,164,289,194,274
Jefferson-:-00 195,236,256,0,0,0,0,0,18,180,203,156,242
Jefferson-:-00 196,203,268,0,0,0,0,0,18,137,226,176,190
Jefferson-:-00 197A,0,0,0,0,0,0,0,5,23,17,23,25
Jefferson-:-00 197B,213,209,0,0,0,0,0,15,125,203,143,190
Jefferson-:-00 198,0,0,0,0,0,0,0,11,140,348,237,261
Jefferson-:-00 199,0,0,0,0,0,0,0,9,132,251,170,218
Jefferson-:-00 200,154,148,0,0,0,0,0,8,95,112,94,126
Jefferson-:-00 201,219,143,0,0,0,0,0,11,83,153,98,150
Jefferson-:-00 202,125,97,0,0,0,0,0,7,89,144,91,143
Jefferson-:-00 203,0,0,0,0,0,0,0,9,93,170,116,152
Jefferson-:-00 204,288,142,0,0,0,0,0,8,154,258,167,251
Jefferson-:-00 205,249,233,0,0,0,0,0,13,143,212,156,210
Jefferson-:-00 210,0,0,0,0,0,0,0,1,44,78,54,72
Jefferson-:-00 211,0,0,0,0,0,0,0,8,57,112,70,107
Jefferson-:-00 212,159,161,0,0,0,0,0,11,63,153,87,128
Jefferson-:-00 213A,49,41,0,0,0,0,0,4,32,39,37,38
Jefferson-:-00 213B,0,0,0,0,0,0,0,5,58,154,101,112
Jefferson-:-00 213C,34,12,0,0,0,0,0,5,6,21,12,22
Jefferson-:-00 214A,0,0,0,0,0,0,0,4,29,69,50,54
Jefferson-:-00 214B,100,64,0,0,0,0,0,3,61,83,51,79
Jefferson-:-00 215,0,0,0,0,0,0,0,1,141,293,221,207
Jefferson-:-00 216A,227,129,0,0,0,0,0,12,103,160,123,152
Jefferson-:-00 216B,0,0,0,0,0,0,0,15,151,238,171,228
Jefferson-:-00 216C,0,0,0,0,0,0,0,8,99,119,87,137
Jefferson-:-00 217,0,0,0,0,0,0,0,36,196,311,221,326
Jefferson-:-00 225,0,0,0,0,0,0,0,7,55,109,65,101
Jefferson-:-00 226,0,0,0,0,0,0,0,11,121,259,157,235
Jefferson-:-00 227,0,0,0,0,0,0,0,19,86,196,114,184
Jefferson-:-00 228,0,0,0,0,0,0,0,7,80,157,101,131
Jefferson-:-00 229,0,0,0,0,0,0,0,1,65,220,90,201
Jefferson-:-00 230,0,0,0,0,0,0,0,9,143,429,240,337
Jefferson-:-00 231,0,0,0,0,0,0,0,8,118,195,149,185
Jefferson-:-00 232A,0,0,0,0,0,0,0,7,57,81,62,83
Jefferson-:-00 232B,0,0,0,0,0,0,0,15,150,151,117,191
Jefferson-:-00 234,0,0,0,0,0,0,0,19,121,338,218,258
Jefferson-:-00 235,0,0,0,0,0,0,0,7,64,94,69,89
Jefferson-:-00 236,0,0,0,0,0,0,0,15,99,209,139,182
Jefferson-:-00 237,0,0,0,0,0,0,0,22,125,298,194,245
Jefferson-:-00 238A,0,0,0,0,0,0,0,18,141,228,167,218
Jefferson-:-00 238B,0,0,0,0,0,0,0,7,118,254,170,206
Jefferson-:-00 246,0,0,0,0,0,0,0,3,51,185,90,156
Jefferson-:-00 247,0,0,0,0,0,0,0,9,95,362,172,298
Jefferson-:-00 248,0,0,0,0,0,0,0,9,52,259,149,172
Jefferson-:-00 G001,0,0,0,0,0,0,0,1,41,163,90,107
Jefferson-:-00 G002,0,0,0,0,0,0,0,7,63,202,136,127
Jefferson-:-00 G003,0,0,0,0,0,0,0,8,67,355,221,203
Jefferson-:-00 G004,0,0,0,0,0,0,0,8,38,74,47,66
Jefferson-:-00 G005,0,0,0,0,0,0,0,0,45,157,110,92
Jefferson-:-00 G006,0,0,0,0,0,0,0,9,38,118,88,69
Jefferson-:-00 G007,0,0,0,0,0,0,0,12,64,161,120,98
Jefferson-:-00 G008,0,0,0,0,0,0,0,4,39,97,66,70
Jefferson-:-00 G009,0,0,0,0,0,0,0,5,86,237,168,159
Jefferson-:-00 G010,0,0,0,0,0,0,0,4,102,503,338,257
Jefferson-:-00 G011,0,0,0,0,0,0,0,7,90,262,172,187
Jefferson-:-00 G012,0,0,0,0,0,0,0,9,45,228,136,149
Jefferson-:-00 G013,0,0,0,0,0,0,0,8,60,126,85,99
Jefferson-:-00 GI001,0,0,0,0,0,0,0,19,100,177,163,118
Jefferson-:-00 H001,0,0,0,0,0,0,0,13,156,123,113,180
Jefferson-:-00 H002,0,0,0,0,0,0,0,9,170,144,121,204
Jefferson-:-00 H003,0,0,0,0,0,0,0,8,164,137,113,194
Jefferson-:-00 H004,0,0,0,0,0,0,0,8,247,202,176,283
Jefferson-:-00 H005,0,0,0,0,0,0,0,1,81,62,62,79
Jefferson-:-00 H006,0,0,0,0,0,0,0,1,84,83,70,98
Jefferson-:-00 H007,0,0,0,0,0,0,0,7,179,116,92,218
Jefferson-:-00 H008,0,0,0,0,0,0,0,5,324,286,203,419
Jefferson-:-00 H009,0,0,0,0,0,0,0,16,132,132,114,166
Jefferson-:-00 K001,0,0,30,259,199,0,0,7,247,230,245,248
Jefferson-:-00 K002,0,0,44,334,137,0,0,8,297,195,244,258
Jefferson-:-00 K003,0,0,29,127,119,0,0,16,160,95,136,136
Jefferson-:-00 K004,0,0,32,271,123,0,0,13,237,175,222,203
Jefferson-:-00 K005,0,0,23,245,280,0,0,9,351,200,221,342
Jefferson-:-00 K006A,0,0,27,166,77,0,0,16,131,122,128,142
Jefferson-:-00 K006B,0,0,47,119,60,0,0,12,108,101,134,95
Jefferson-:-00 K007A,0,0,37,217,113,0,0,18,214,128,168,201
Jefferson-:-00 K007B,0,0,40,127,50,0,0,7,121,81,136,69
Jefferson-:-00 K008,0,0,57,282,146,0,0,16,274,179,230,250
Jefferson-:-00 K009,0,0,12,138,106,0,0,8,137,109,98,159
Jefferson-:-00 K010,0,0,22,149,78,0,0,3,137,101,124,121
Jefferson-:-00 K011,0,0,26,129,43,0,0,3,111,78,94,93
Jefferson-:-00 K012,0,0,34,330,170,0,0,26,276,234,245,292
Jefferson-:-00 K013A,0,0,20,152,68,0,0,5,112,122,143,98
Jefferson-:-00 K013B,61,52,0,0,0,0,0,5,54,34,47,42
Jefferson-:-00 K014,0,0,62,266,117,0,0,26,224,177,259,177
Jefferson-:-00 K015,0,0,16,100,67,0,0,8,109,69,99,85
Jefferson-:-00 K016,0,0,32,269,106,0,0,20,210,158,210,197
Jefferson-:-00 K017,0,0,39,277,148,0,0,16,228,195,215,241
Jefferson-:-00 K018,0,0,7,26,18,0,0,4,25,24,18,37
Jefferson-:-00 K019,0,0,29,327,149,0,0,15,276,210,240,269
Jefferson-:-00 K020,0,0,53,281,181,0,0,19,313,185,219,301
Jefferson-:-00 K021,71,104,0,0,0,0,0,15,52,67,74,61
Jefferson-:-00 K022,85,100,0,0,0,0,0,5,58,77,87,54
Jefferson-:-00 K023,81,107,0,0,0,0,0,8,67,66,81,58
Jefferson-:-00 K024,20,53,0,0,0,0,0,3,23,24,23,25
Jefferson-:-00 K025,0,0,40,184,128,0,0,8,211,130,189,159
Jefferson-:-00 K026,92,91,0,0,0,0,0,5,60,88,72,80
Jefferson-:-00 K027,0,0,19,106,79,0,0,11,111,78,84,120
Jefferson-:-00 K028,0,0,11,72,66,0,0,3,65,77,65,83
Jefferson-:-00 K029,0,0,37,120,75,0,0,13,116,95,117,117
Jefferson-:-00 K030,0,0,30,64,45,0,0,8,77,50,69,73
Jefferson-:-00 K031,70,34,0,0,0,0,0,8,32,39,48,31
Jefferson-:-00 K033,132,94,0,0,0,0,0,8,81,80,77,91
Jefferson-:-00 K034,0,0,53,156,84,0,0,19,154,119,156,127
Jefferson-:-00 K035,0,0,23,140,99,0,0,9,153,99,123,140
Jefferson-:-00 L001,0,0,0,0,0,0,0,23,128,671,313,510
Jefferson-:-00 W001,0,0,0,0,0,0,0,8,63,88,79,76
Jefferson-:-00 W002,0,0,0,0,0,0,0,7,15,35,28,22
Jefferson-:-00 W003,0,0,0,0,0,0,0,11,74,161,116,131
Jefferson-:-00 W004,0,0,0,0,0,0,0,5,74,108,88,101
Jefferson-:-00 W005,0,0,0,0,0,0,0,15,118,269,227,178
Jefferson-:-00 W006,0,0,0,0,0,0,0,11,79,132,92,128
Jefferson-:-00 W007,0,0,0,0,0,0,0,9,134,265,223,182
